File                           | Endpoint                                                              
--------------------------------------------------------------------------------------------------------------
AdminDashboard.tsx             | /api/admin/companies                                                  
AdminDashboard.tsx             | /api/admin/companies                                                  
AdminDashboard.tsx             | /api/admin/companies/${companyId}                                     
AdminDashboard.tsx             | /api/admin/companies/${companyId}                                     
AdminDashboard.tsx             | /api/admin/companies/${companyId}/mark-overdue                        
AdminDashboard.tsx             | /api/admin/companies/${companyId}/reactivate                          
AdminDashboard.tsx             | /api/admin/companies/${suspendCompanyId}/suspend                      
AdminDashboard.tsx             | /api/admin/users                                                      
AdminDashboard.tsx             | /api/admin/users                                                      
AdminDashboard.tsx             | /api/admin/users/${editingUser.id}                                    
AdminDashboard.tsx             | /api/admin/users/${userId}                                            
AdminDashboard.tsx             | /api/admin/users/${userId}                                            
CasoDetailPage.tsx             | /api/cases/${caseData.id}/multisource-check                           
CasoDetailPage.tsx             | /api/cases/${caseId}/multisource-checks                               
ConfiguracionPage.tsx          | /auth/change-password                                                 
PublicacionesPanel.tsx         | /publicaciones/sincronizacion-masiva                                  
PublicacionesPanel.tsx         | /publicaciones/sincronizacion-masiva/${activeJob.id}                  
PublicacionesPanel.tsx         | /publicaciones/sincronizacion-masiva/${res.job_id}                    
PublicacionesPanel.tsx         | /publicaciones/sincronizacion-masiva/active${companyParam}            
RegisterPage.tsx               | /auth/register                                                        
api.ts                         | /api/admin/billing/simulator                                          
api.ts                         | /api/admin/billing/tiers                                              
api.ts                         | /api/admin/billing/tiers                                              
api.ts                         | /auth/forgot-password                                                 
api.ts                         | /auth/login                                                           
api.ts                         | /auth/login                                                           
api.ts                         | /auth/register-company                                                
api.ts                         | /auth/reset-password                                                  
api.ts                         | /auth/users                                                           
api.ts                         | /cases/${caseId}                                                      
api.ts                         | /cases/${caseId}/events                                               
api.ts                         | /cases/${caseId}/id-proceso                                           
api.ts                         | /cases/${caseId}/lawyer                                               
api.ts                         | /cases/${caseId}/mark-read                                            
api.ts                         | /cases/${caseId}/mark-read                                            
api.ts                         | /cases/${r}/buscar-nuevamente                                         
api.ts                         | /cases/${r}/fuentes                                                   
api.ts                         | /cases/${r}/publicaciones                                             
api.ts                         | /cases/${r}/refresh-publicaciones                                     
api.ts                         | /cases/abogados                                                       
api.ts                         | /cases/bulk-delete-excel                                              
api.ts                         | /cases/by-radicado/${r}                                               
api.ts                         | /cases/by-radicado/${r}                                               
api.ts                         | /cases/by-radicado/${r}/events                                        
api.ts                         | /cases/by-radicado/${r}/sync                                          
api.ts                         | /cases/id/${caseId}/tasks                                             
api.ts                         | /cases/id/${id}                                                       
api.ts                         | /cases/id/${id}/events                                                
api.ts                         | /cases/id/${id}/publicaciones                                         
api.ts                         | /cases/id/${r}/refresh-publicaciones                                  
api.ts                         | /cases/import-excel                                                   
api.ts                         | /cases/import-excel                                                   
api.ts                         | /cases/mark-read-all                                                  
api.ts                         | /cases/mark-read-bulk                                                 
api.ts                         | /cases/refresh-all                                                    
api.ts                         | /cases/search                                                         
api.ts                         | /cases/stats/dashboard                                                
api.ts                         | /cases/sync-all-publications                                          
api.ts                         | /projects/folders                                                     
api.ts                         | /projects/import-clickup                                              
api.ts                         | /projects/lists                                                       
api.ts                         | /projects/statuses                                                    
api.ts                         | /projects/tags                                                        
api.ts                         | /projects/tasks                                                       
api.ts                         | /projects/tasks/${taskId}                                             
api.ts                         | /projects/tasks/${taskId}                                             
api.ts                         | /projects/tasks/${taskId}/checklists                                  
api.ts                         | /projects/tasks/${taskId}/comments                                    
api.ts                         | /projects/workspaces                                                  
api.ts                         | /projects/workspaces                                                  
api.ts                         | /projects/workspaces/${workspaceId}/members                           
api.ts                         | /publicaciones/${pubId}/aprobar                                       
api.ts                         | /publicaciones/${pubId}/descartar                                     
api.ts                         | /search/jobs/${jobId}                                                 
api.ts                         | /search/jobs/${jobId}/import                                          
api.ts                         | /search/latest                                                        
